Image,Name,Status,Disease Name
augimg/Maple___powdery_mildew/yCapture.PNG 7.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/xistockphoto-1335217312-612x612.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/cmildewonbigleafmaplescloseup.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bCapture.PNG 28.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/zimages.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/zCapture.PNG 19.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/aCapture.PNG 20.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-Capture.PNG 18.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/xCapture.PNG 3.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/z2110087.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-maplepowderymildewfirstscans009.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bCapture.PNG 22.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/z160_F_223718133_TbMw2xnxhD8uv58JGHP83SLQh0gMOqUi.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/aCapture.PNG 14.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/dCapture.PNG 20.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-Capture.PNG 4.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/ximages.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/a160_F_223718133_TbMw2xnxhD8uv58JGHP83SLQh0gMOqUi.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/adownload.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/xCapture.PNG 19.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/xCapture.PNG 22.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/cCapture.PNG 19.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-Capture.PNG 8.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/zCapture.PNG 2.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/aimages.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-Capture.PNG 16.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/xCapture.PNG 2.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/zCapture.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/cCapture.PNG 11.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/z20170928a-city-of-toronto.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/amaplepowderymildewfirstscans009.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/aCapture.PNG 13.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/dCapture.PNG 6.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-Capture.PNG 28.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-Capture.PNG 7.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bstock-photo-powdery-mildew-on-leaf-of-norway-maple-maple-tree-fungal-disease-1184904139.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-Capture.PNG 22.PNG,Maple,diseased,powdery_mildew
